link,address,dealer,price,beds,baths,area
https://www.zillow.com/homedetails/2443-W-College-Ave-Denver-CO-80219/13381511_zpid/,"2443 W College Avenue, Denver, CO 80219","MLS ID #6309565, MADISON & COMPANY PROPERTIES","$425,000",4,2,"1,460"
https://www.zillow.com/homedetails/1775-Deer-Valley-Rd-Boulder-CO-80305/13178376_zpid/,"1775 Deer Valley Rd, Boulder, CO 80305","COMPASS - BOULDER, Zori Levine","$7,995,000",4,2,"1,460"
https://www.zillow.com/homedetails/1372-Perry-St-Denver-CO-80204/440874115_zpid/,"1372 Perry Street, Denver, CO 80204","MLS ID #6956849, RE/MAX PROFESSIONALS","$789,000",4,2,"1,460"
https://www.zillow.com/homedetails/6154-Belmont-Way-Parker-CO-80134/13477891_zpid/,"6154 Belmont Way, Parker, CO 80134","MLS ID #3608963, HOMESMART","$978,000",4,2,"1,460"
https://www.zillow.com/homedetails/6134-Briarcliff-Rd-Colorado-Springs-CO-80918/13579103_zpid/,"6134 Briarcliff Rd, Colorado Springs, CO 80918",COLORADO HOME REALTY,"$625,000",4,2,"1,460"
https://www.zillow.com/homedetails/5736-Tradewind-Point-Colorado-Springs-CO-80923/13573780_zpid/,"5736 Tradewind Point, Colorado Springs, CO 80923","REAL BROKER, LLC DBA REAL","$369,000",4,2,"1,460"
https://www.zillow.com/homedetails/7830-Delmonico-Dr-Colorado-Springs-CO-80919/13652239_zpid/,"7830 Delmonico Dr, Colorado Springs, CO 80919",YOUR HOME SOLD GUARANTEED REALTY - BARB HAS THE BUYERS TEAM,"$714,999",4,2,"1,460"
https://www.zillow.com/homedetails/12-Red-Tail-Dr-Highlands-Ranch-CO-80126/13435321_zpid/,"12 Red Tail Drive, Littleton, CO 80126","MLS ID #9312707, COMPASS - DENVER","$1,749,880",4,2,"1,460"
https://www.zillow.com/homedetails/1875-Silver-Mesa-Driveway-Durango-CO-81301/117891258_zpid/,"1875 Silver Mesa Driveway, Durango, CO 81301",,"$529,900",2,2,"1,334"
https://www.zillow.com/homedetails/1815-Van-Diest-Rd-Colorado-Springs-CO-80915/13598717_zpid/,"1815 Van Diest Rd, Colorado Springs, CO 80915",OPENDOOR BROKERAGE LLC,"$396,000",2,2,"1,334"
https://www.zillow.com/homedetails/7639-Jackson-School-Rd-Browns-Summit-NC-27214/5977476_zpid/,"7639 Jackson School Rd, Browns Summit, NC 27214",,"$237,500",2,2,"1,334"
https://www.zillow.com/homedetails/868-Oleander-Dr-Loveland-CO-80538/13884002_zpid/,"868 Oleander Dr, Loveland, CO 80538","ELEVATIONS REAL ESTATE, LLC, Stephanie Steward","$1,085,000",2,2,"1,334"
https://www.zillow.com/homedetails/315-Spring-St-Morrison-CO-80465/13799139_zpid/,"315 Spring Street, Morrison, CO 80465","MLS ID #4888621, MB MARSTON AND BLUE","$425,000",2,2,"1,334"
https://www.zillow.com/homedetails/7788-Greenleaf-Ln-Denver-CO-80221/12996023_zpid/,"7788 Greenleaf Lane, Denver, CO 80221","MLS ID #3032990, RE/MAX MOMENTUM","$400,000",2,2,"1,334"
https://www.zillow.com/homedetails/964-Alpensee-Dr-Breckenridge-CO-80424/194081387_zpid/,"964 Alpensee Dr, Breckenridge, CO 80424","YOUR CASTLE SUMMIT, LLC","$2,250,000",2,2,"1,334"
https://www.zillow.com/homedetails/4559-Sunnyhill-Dr-Colorado-Springs-CO-80916/13632364_zpid/,"4559 Sunnyhill Dr, Colorado Springs, CO 80916",HOMESMART,"$369,900",2,2,"1,334"
https://www.zillow.com/homedetails/1265-N-Race-St-APT-304-Denver-CO-80206/13328925_zpid/,"1265 Race Street  Unit 304, Denver, CO 80206","MLS ID #4770227, THRIVE REAL ESTATE GROUP","$335,000",1,1,752
https://www.zillow.com/homedetails/1673-Sinton-Rd-Evergreen-CO-80439/13268549_zpid/,"1673 Sinton Road, Evergreen, CO 80439","MLS ID #4271761, ORCHARD BROKERAGE LLC","$925,000",1,1,752
https://www.zillow.com/homedetails/94-S-Pierce-St-Lakewood-CO-80226/130462230_zpid/,"94 S Pierce Street, Lakewood, CO 80226","MLS ID #8361925, ONE REALTY LLC","$425,000",1,1,752
https://www.zillow.com/homedetails/2560-Blake-St-APT-402-Denver-CO-80205/58684429_zpid/,"2560 Blake Street  Unit 402, Denver, CO 80205","MLS ID #7394947, COMPASS - DENVER","$650,000",1,1,752
https://www.zillow.com/homedetails/8065-Mount-Hayden-Dr-Colorado-Springs-CO-80924/82241552_zpid/,"8065 Mount Hayden Dr, Colorado Springs, CO 80924",SPRINGS HOME FINDERS,"$585,000",1,1,752
https://www.zillow.com/homedetails/761-Conundrum-Crk-Aspen-CO-81611/14001099_zpid/,"761 Conundrum Crk, Aspen, CO 81611",COLDWELL BANKER MASON MORSE-ASPEN,"$18,600,000",1,1,752
https://www.zillow.com/homedetails/3316-S-Newport-St-Denver-CO-80224/13416841_zpid/,"3316 S Newport Street, Denver, CO 80224","MLS ID #4177021, KELLER WILLIAMS TRILOGY","$874,900",1,1,752
https://www.zillow.com/homedetails/291-Palisade-Mountain-Dr-Drake-CO-80515/13849434_zpid/,"291 Palisade Mountain Dr, Drake, CO 80515","KW REALTY NOCO-ESTES, Jeff Abel","$450,000",1,1,752
https://www.zillow.com/homedetails/940-Milwaukee-St-Denver-CO-80206/13326727_zpid/,"940 Milwaukee Street, Denver, CO 80206","MLS ID #2404064, LIV SOTHEBY'S INTERNATIONAL REALTY","$750,000",3,2,"2,404"
https://www.zillow.com/homedetails/3611-E-133rd-Cir-Thornton-CO-80241/12951812_zpid/,"3611 E 133rd Circle, Thornton, CO 80241","MLS ID #3225629, EXP REALTY, LLC","$495,000",3,2,"2,404"
https://www.zillow.com/homedetails/6052-Wadsworth-Blvd-Arvada-CO-80003/13726675_zpid/,"6052 Wadsworth Boulevard, Arvada, CO 80003","MLS ID #6396386, RE/MAX ALLIANCE","$449,900",3,2,"2,404"
https://www.zillow.com/homedetails/7388-Village-Rd-Parker-CO-80134/13477543_zpid/,"7388 Village Road, Parker, CO 80134","MLS ID #9798441, COLORADO HOME REALTY","$1,260,000",3,2,"2,404"
https://www.zillow.com/homedetails/1326-Spraddle-Creek-Rd-Vail-CO-81657/13500988_zpid/,"1326 Spraddle Creek Rd, Vail, CO 81657",COLDWELL BANKER DISTINCTIVE PROPERTIES,"$42,000,000",3,2,"2,404"
https://www.zillow.com/homedetails/1140-S-Fenton-St-Lakewood-CO-80232/13785363_zpid/,"1140 S Fenton Street, Lakewood, CO 80232","MLS ID #7945184, BUY-OUT COMPANY REALTY, LLC","$584,973",3,2,"2,404"
https://www.zillow.com/homedetails/1241-Eastmeadow-Dr-Colorado-Springs-CO-80906/13635716_zpid/,"1241 Eastmeadow Dr, Colorado Springs, CO 80906",CORNERSTONE REAL ESTATE TEAM,"$370,000",3,2,"2,404"
https://www.zillow.com/homedetails/2300-75th-St-Boulder-CO-80301/13253284_zpid/,"2300 N 75th St, Boulder, CO 80301","COMPASS - BOULDER, Patricia Dessel","$11,700,000",3,2,"2,404"
https://www.zillow.com/homedetails/10-Desert-Inn-Way-Colorado-Springs-CO-80921/13556592_zpid/,"10 Desert Inn Way, Colorado Springs, CO 80921",FINCH & GABLE REAL ESTATE COMPANY,"$684,900",5,4,"4,197"
https://www.zillow.com/homedetails/2151-N-24th-St-Grand-Junction-CO-81501/13967896_zpid/,"2151 N 24th St, Grand Junction, CO 81501","LIFESTYLE LIVING REAL ESTATE, LLC. Listing provided by GJARA","$385,000",5,4,"4,197"
https://www.zillow.com/homedetails/824-Pine-St-Trinidad-CO-81082/115552346_zpid/,"824 Pine St, Trinidad, CO 81082","EXP REALTY, LLC. Listing provided by PAR","$150,000",5,4,"4,197"
https://www.zillow.com/homedetails/8930-Elk-Ln-Pueblo-CO-81004/200114903_zpid/,"8930 Elk Ln, Pueblo, CO 81004",SIERRA GRANDE INVESTMENTS LLC,"$498,900",5,4,"4,197"
https://www.zillow.com/homedetails/6438-Holy-Cross-Ct-Castle-Rock-CO-80108/102662490_zpid/,"6438 Holy Cross Court, Castle Rock, CO 80108","MLS ID #6859561, RE/MAX PROFESSIONALS","$5,300,000",5,4,"4,197"
