link,address,dealer,price,beds,baths,area
https://www.zillow.com/homedetails/2443-W-College-Ave-Denver-CO-80219/13381511_zpid/,"2443 W College Avenue, Denver, CO 80219","MLS ID #6309565, MADISON & COMPANY PROPERTIES","$425,000",4,2,"1,460"
https://www.zillow.com/homedetails/1372-Perry-St-Denver-CO-80204/440874115_zpid/,"1372 Perry Street, Denver, CO 80204","MLS ID #6956849, RE/MAX PROFESSIONALS","$789,000",4,2,"1,460"
https://www.zillow.com/homedetails/1775-Deer-Valley-Rd-Boulder-CO-80305/13178376_zpid/,"1775 Deer Valley Rd, Boulder, CO 80305","COMPASS - BOULDER, Zori Levine","$7,995,000",4,2,"1,460"
https://www.zillow.com/homedetails/5736-Tradewind-Point-Colorado-Springs-CO-80923/13573780_zpid/,"5736 Tradewind Point, Colorado Springs, CO 80923","REAL BROKER, LLC DBA REAL","$369,000",4,2,"1,460"
https://www.zillow.com/homedetails/7830-Delmonico-Dr-Colorado-Springs-CO-80919/13652239_zpid/,"7830 Delmonico Dr, Colorado Springs, CO 80919",YOUR HOME SOLD GUARANTEED REALTY - BARB HAS THE BUYERS TEAM,"$714,999",4,2,"1,460"
https://www.zillow.com/homedetails/12-Red-Tail-Dr-Highlands-Ranch-CO-80126/13435321_zpid/,"12 Red Tail Drive, Littleton, CO 80126","MLS ID #9312707, COMPASS - DENVER","$1,749,880",4,2,"1,460"
https://www.zillow.com/homedetails/611-S-34th-Ave-Brighton-CO-80601/58288868_zpid/,"611 S 34th Avenue, Brighton, CO 80601","MLS ID #5809531, 8Z REAL ESTATE","$524,999",4,2,"1,460"
https://www.zillow.com/homedetails/5044-McClure-Ln-Castle-Rock-CO-80108/67451720_zpid/,"5044 Mcclure Lane, Castle Rock, CO 80108","MLS ID #7918255, COMPASS - DENVER","$2,200,000",4,2,"1,460"
https://www.zillow.com/homedetails/57261-County-Road-76-5-Model-CO-81059/2065605196_zpid/,"57261 County Road 76.5 Road, Model, CO 81059","MLS ID #7053555, KELLER WILLIAMS INTEGRITY REAL ESTATE LLC","$149,000",6,2,"9,000"
https://www.zillow.com/homedetails/12503-Berrywood-Dr-Colorado-Springs-CO-80921/64542065_zpid/,"12503 Berrywood Dr, Colorado Springs, CO 80921",RE/MAX LEADERS,"$799,999",6,2,"9,000"
https://www.zillow.com/homedetails/31437-Evans-View-Ln-Conifer-CO-80433/442248496_zpid/,"31437 Evans View Lane, Pine, CO 80433","MLS ID #4138841, WHITETAIL PROPERTIES REAL ESTATE LLC","$500,000",6,2,"9,000"
